config,run,op,ms
baseline,1,Other,0.980086
baseline,1,__TOTAL__,41.78207
baseline,1,Slice,0.008265
baseline,1,AllGather,0.887689
baseline,1,RMSNorm/LayerNorm,0.364571
baseline,1,Matmul,15.455074
baseline,1,BinaryNg,0.687103
baseline,1,ShardedToInterleaved,0.069934
baseline,1,SDPA decode,0.15727
baseline,1,ReduceScatter,1.245248
baseline,1,TopK,21.818924
baseline,1,Sampling,0.107906
baseline,2,Other,0.98138
baseline,2,__TOTAL__,41.776592
baseline,2,Slice,0.008256
baseline,2,AllGather,0.876434
baseline,2,RMSNorm/LayerNorm,0.364855
baseline,2,Matmul,15.457561
baseline,2,BinaryNg,0.692942
baseline,2,ShardedToInterleaved,0.070187
baseline,2,SDPA decode,0.157578
baseline,2,ReduceScatter,1.240419
baseline,2,TopK,21.818836
baseline,2,Sampling,0.108144
baseline,3,Other,0.981098
baseline,3,__TOTAL__,41.770939
baseline,3,Slice,0.008241
baseline,3,AllGather,0.866321
baseline,3,RMSNorm/LayerNorm,0.365619
baseline,3,Matmul,15.456315
baseline,3,BinaryNg,0.692832
baseline,3,ShardedToInterleaved,0.068577
baseline,3,SDPA decode,0.157262
baseline,3,ReduceScatter,1.247703
baseline,3,TopK,21.818935
baseline,3,Sampling,0.108036
baseline,4,Other,0.980352
baseline,4,__TOTAL__,41.788539
baseline,4,Slice,0.008404
baseline,4,AllGather,0.887476
baseline,4,RMSNorm/LayerNorm,0.365829
baseline,4,Matmul,15.456022
baseline,4,BinaryNg,0.687463
baseline,4,ShardedToInterleaved,0.070096
baseline,4,SDPA decode,0.157544
baseline,4,ReduceScatter,1.248363
baseline,4,TopK,21.818805
baseline,4,Sampling,0.108185
baseline,5,Other,0.980708
baseline,5,__TOTAL__,41.7882
baseline,5,Slice,0.00832
baseline,5,AllGather,0.876736
baseline,5,RMSNorm/LayerNorm,0.366532
baseline,5,Matmul,15.455311
baseline,5,BinaryNg,0.688606
baseline,5,ShardedToInterleaved,0.073114
baseline,5,SDPA decode,0.157756
baseline,5,ReduceScatter,1.254175
baseline,5,TopK,21.81884
baseline,5,Sampling,0.108102
hifi2,1,Other,0.981401
hifi2,1,__TOTAL__,36.784593
hifi2,1,Slice,0.008428
hifi2,1,AllGather,0.886127
hifi2,1,RMSNorm/LayerNorm,0.365854
hifi2,1,Matmul,10.45247
hifi2,1,BinaryNg,0.686965
hifi2,1,ShardedToInterleaved,0.071062
hifi2,1,SDPA decode,0.15749
hifi2,1,ReduceScatter,1.248226
hifi2,1,TopK,21.81878
hifi2,1,Sampling,0.10779
hifi2,2,Other,0.981475
hifi2,2,__TOTAL__,36.766156
hifi2,2,Slice,0.008275
hifi2,2,AllGather,0.877922
hifi2,2,RMSNorm/LayerNorm,0.365503
hifi2,2,Matmul,10.453252
hifi2,2,BinaryNg,0.687087
hifi2,2,ShardedToInterleaved,0.071116
hifi2,2,SDPA decode,0.157433
hifi2,2,ReduceScatter,1.237339
hifi2,2,TopK,21.818874
hifi2,2,Sampling,0.10788
hifi2,3,Other,0.980556
hifi2,3,__TOTAL__,36.775007
hifi2,3,Slice,0.008479
hifi2,3,AllGather,0.877718
hifi2,3,RMSNorm/LayerNorm,0.366387
hifi2,3,Matmul,10.452645
hifi2,3,BinaryNg,0.687313
hifi2,3,ShardedToInterleaved,0.072234
hifi2,3,SDPA decode,0.157777
hifi2,3,ReduceScatter,1.244986
hifi2,3,TopK,21.818864
hifi2,3,Sampling,0.108048
hifi2,4,Other,0.979935
hifi2,4,__TOTAL__,36.787348
hifi2,4,Slice,0.00825
hifi2,4,AllGather,0.890213
hifi2,4,RMSNorm/LayerNorm,0.365931
hifi2,4,Matmul,10.45289
hifi2,4,BinaryNg,0.68729
hifi2,4,ShardedToInterleaved,0.073686
hifi2,4,SDPA decode,0.157775
hifi2,4,ReduceScatter,1.244332
hifi2,4,TopK,21.818846
hifi2,4,Sampling,0.1082
hifi2,5,Other,0.98067
hifi2,5,__TOTAL__,36.769656
hifi2,5,Slice,0.008351
hifi2,5,AllGather,0.871206
hifi2,5,RMSNorm/LayerNorm,0.365336
hifi2,5,Matmul,10.451603
hifi2,5,BinaryNg,0.6863
hifi2,5,ShardedToInterleaved,0.073611
hifi2,5,SDPA decode,0.157463
hifi2,5,ReduceScatter,1.248163
hifi2,5,TopK,21.818868
hifi2,5,Sampling,0.108085
fusion,1,Other,0.980374
fusion,1,__TOTAL__,36.380441
fusion,1,Slice,0.123613
fusion,1,AllGather,0.875153
fusion,1,RMSNorm/LayerNorm,0.366457
fusion,1,Matmul,10.275479
fusion,1,BinaryNg,0.294631
fusion,1,ShardedToInterleaved,0.125159
fusion,1,SDPA decode,0.171034
fusion,1,ReduceScatter,1.242072
fusion,1,TopK,21.818434
fusion,1,Sampling,0.108035
fusion,2,Other,0.978186
fusion,2,__TOTAL__,36.391358
fusion,2,Slice,0.113689
fusion,2,AllGather,0.884012
fusion,2,RMSNorm/LayerNorm,0.367869
fusion,2,Matmul,10.275539
fusion,2,BinaryNg,0.293153
fusion,2,ShardedToInterleaved,0.124678
fusion,2,SDPA decode,0.171804
fusion,2,ReduceScatter,1.255646
fusion,2,TopK,21.818762
fusion,2,Sampling,0.10802
fusion,3,Other,0.977669
fusion,3,__TOTAL__,36.378596
fusion,3,Slice,0.122693
fusion,3,AllGather,0.875189
fusion,3,RMSNorm/LayerNorm,0.36652
fusion,3,Matmul,10.275901
fusion,3,BinaryNg,0.293565
fusion,3,ShardedToInterleaved,0.125367
fusion,3,SDPA decode,0.171609
fusion,3,ReduceScatter,1.24334
fusion,3,TopK,21.818845
fusion,3,Sampling,0.107898
fusion,4,Other,0.97753
fusion,4,__TOTAL__,36.384446
fusion,4,Slice,0.121301
fusion,4,AllGather,0.873513
fusion,4,RMSNorm/LayerNorm,0.367387
fusion,4,Matmul,10.276859
fusion,4,BinaryNg,0.293523
fusion,4,ShardedToInterleaved,0.128482
fusion,4,SDPA decode,0.171224
fusion,4,ReduceScatter,1.247726
fusion,4,TopK,21.818889
fusion,4,Sampling,0.108012
fusion,5,Other,0.977534
fusion,5,__TOTAL__,36.383216
fusion,5,Slice,0.124197
fusion,5,AllGather,0.873336
fusion,5,RMSNorm/LayerNorm,0.366842
fusion,5,Matmul,10.275828
fusion,5,BinaryNg,0.294199
fusion,5,ShardedToInterleaved,0.128417
fusion,5,SDPA decode,0.171728
fusion,5,ReduceScatter,1.243909
fusion,5,TopK,21.818879
fusion,5,Sampling,0.108347
topk_padding,1,Other,1.246493
topk_padding,1,__TOTAL__,56.787144
topk_padding,1,Slice,0.008369
topk_padding,1,AllGather,0.887402
topk_padding,1,RMSNorm/LayerNorm,0.365855
topk_padding,1,Matmul,11.838226
topk_padding,1,BinaryNg,0.687585
topk_padding,1,ShardedToInterleaved,0.099257
topk_padding,1,SDPA decode,0.157408
topk_padding,1,ReduceScatter,1.233327
topk_padding,1,TopK,40.155047
topk_padding,1,Sampling,0.108175
topk_padding,2,Other,1.248086
topk_padding,2,__TOTAL__,56.86141
topk_padding,2,Slice,0.008395
topk_padding,2,AllGather,0.939411
topk_padding,2,RMSNorm/LayerNorm,0.366141
topk_padding,2,Matmul,11.840543
topk_padding,2,BinaryNg,0.687452
topk_padding,2,ShardedToInterleaved,0.104214
topk_padding,2,SDPA decode,0.157509
topk_padding,2,ReduceScatter,1.238818
topk_padding,2,TopK,40.162739
topk_padding,2,Sampling,0.108102
topk_padding,3,Other,1.248854
topk_padding,3,__TOTAL__,56.794383
topk_padding,3,Slice,0.008271
topk_padding,3,AllGather,0.878109
topk_padding,3,RMSNorm/LayerNorm,0.366164
topk_padding,3,Matmul,11.839264
topk_padding,3,BinaryNg,0.687203
topk_padding,3,ShardedToInterleaved,0.10406
topk_padding,3,SDPA decode,0.15761
topk_padding,3,ReduceScatter,1.241898
topk_padding,3,TopK,40.154989
topk_padding,3,Sampling,0.107961
topk_padding,4,Other,1.248642
topk_padding,4,__TOTAL__,56.792879
topk_padding,4,Slice,0.008416
topk_padding,4,AllGather,0.87954
topk_padding,4,RMSNorm/LayerNorm,0.365732
topk_padding,4,Matmul,11.8405
topk_padding,4,BinaryNg,0.686735
topk_padding,4,ShardedToInterleaved,0.099643
topk_padding,4,SDPA decode,0.157703
topk_padding,4,ReduceScatter,1.242988
topk_padding,4,TopK,40.155017
topk_padding,4,Sampling,0.107963
topk_padding,5,Other,1.248362
topk_padding,5,__TOTAL__,56.786138
topk_padding,5,Slice,0.008336
topk_padding,5,AllGather,0.868842
topk_padding,5,RMSNorm/LayerNorm,0.364512
topk_padding,5,Matmul,11.840395
topk_padding,5,BinaryNg,0.687179
topk_padding,5,ShardedToInterleaved,0.104114
topk_padding,5,SDPA decode,0.157452
topk_padding,5,ReduceScatter,1.244301
topk_padding,5,TopK,40.154954
topk_padding,5,Sampling,0.107691
